State,County,ZIP Code,Average of Latitude,Average of Longitude,EVs on the Road,EVs per 1k People,EVs per Level 2 Port,ZIP - Current Population,
Virginia,Montgomery County,24073,37.14,-80.4,,,,"29,595",
Virginia,Montgomery County,24087,37.21,-80.23,,,,"4,041",
Virginia,Montgomery County,24138,37.05,-80.36,,,,"1,514",
Virginia,Montgomery County,24149,37.02,-80.43,,,,"3,641",
Virginia,Montgomery County,24162,37.13,-80.25,,,,"2,136",
Virginia,Nelson County,22920,38.03,-78.83,,,,"3,548",
Virginia,Nelson County,22938,37.85,-78.75,,,,675,
Virginia,Nelson County,22949,37.77,-78.88,,,,"1,141",
Virginia,Nelson County,22958,37.9,-78.9,,,,"2,021",
Virginia,Nelson County,22964,37.71,-79.02,,,,387,
Virginia,Nelson County,22967,37.8,-79.01,,,,"2,696",
Virginia,Nelson County,22969,37.79,-78.69,,,,"1,938",
Virginia,Nelson County,22971,37.72,-78.83,,,,"2,474",
Virginia,Nelson County,22976,37.81,-79.06,,,,89,
Virginia,Nelson County,24464,37.86,-79.13,,,,262,
Virginia,Nelson County,24553,37.54,-78.84,,,,"1,663",
Virginia,Nelson County,24581,37.66,-78.81,,,,0,
Virginia,New Kent County,23089,37.42,-76.9,,,,"5,354",
Virginia,New Kent County,23124,37.51,-76.97,,,,"4,948",
Virginia,New Kent County,23140,37.44,-77.04,,,,"6,606",
Virginia,New Kent County,23141,37.53,-77.11,,,,"7,672",
Virginia,Newport News city,23602,37.11,-76.52,,,,"43,127",
Virginia,Newport News city,23603,37.19,-76.56,,,,"3,555",
Virginia,Newport News city,23604,37.12,-76.59,,,,"5,029",
Virginia,Newport News city,23605,37.02,-76.44,,,,"13,359",
Virginia,Newport News city,23606,37.07,-76.51,,,,"29,807",
Virginia,Newport News city,23607,36.97,-76.42,,,,"23,892",
Virginia,Newport News city,23608,37.15,-76.54,,,,"42,684",
Virginia,Newport News city,23609,37.07,-76.51,,,,,
Virginia,Newport News city,23612,37.07,-76.51,,,,,
Virginia,Newport News city,23628,37.07,-76.51,,,,,
Virginia,Norfolk city,23502,36.86,-76.2,,,,"19,994",
Virginia,Norfolk city,23503,36.95,-76.27,,,,"30,991",
Virginia,Norfolk city,23504,36.86,-76.27,,,,"24,202",
Virginia,Norfolk city,23505,36.91,-76.29,,,,"28,619",
Virginia,Norfolk city,23506,36.84,-76.28,,,,,
Virginia,Norfolk city,23507,36.86,-76.3,,,,"6,588",
Virginia,Norfolk city,23508,36.88,-76.31,,,,"20,647",
Virginia,Norfolk city,23509,36.88,-76.26,,,,"12,903",
Virginia,Norfolk city,23510,36.85,-76.29,,,,"9,294",
Virginia,Norfolk city,23511,36.91,-76.33,,,,"11,067",
Virginia,Norfolk city,23512,36.84,-76.28,,,,,
Virginia,Norfolk city,23513,36.89,-76.24,,,,"30,168",
Virginia,Norfolk city,23514,36.84,-76.28,,,,,
Virginia,Norfolk city,23515,36.84,-76.28,,,,,
Virginia,Norfolk city,23517,36.87,-76.29,,,,"4,212",
Virginia,Norfolk city,23518,36.92,-76.22,,,,"29,337",
Virginia,Norfolk city,23519,36.84,-76.28,,,,,
Virginia,Norfolk city,23520,36.84,-76.28,,,,,
Virginia,Norfolk city,23523,36.84,-76.28,,,,"7,352",
Virginia,Norfolk city,23529,36.84,-76.28,,,,,
Virginia,Norfolk city,23541,36.84,-76.28,,,,,
Virginia,Norfolk city,23551,36.92,-76.29,,,,"1,599",
Virginia,Northampton County,23310,37.27,-76.01,,,,"4,984",
Virginia,Northampton County,23313,37.2,-75.95,,,,72,
Virginia,Northampton County,23316,37.28,-75.96,,,,75,
Virginia,Northampton County,23347,37.35,-75.94,,,,640,
Virginia,Northampton County,23350,37.53,-75.82,,,,"3,144",
Virginia,Northampton County,23354,37.46,-75.91,,,,379,
Virginia,Northampton County,23398,37.52,-75.94,,,,21,
Virginia,Northampton County,23405,37.4,-75.9,,,,"1,226",
Virginia,Northampton County,23408,37.45,-75.84,,,,8,
Virginia,Northampton County,23413,37.47,-75.86,,,,971,
Virginia,Northampton County,23419,37.28,-75.92,,,,,
Virginia,Northampton County,23429,37.27,-75.95,,,,,
Virginia,Northampton County,23443,37.18,-75.95,,,,,
Virginia,Northampton County,23482,37.5,-75.87,,,,,
Virginia,Northampton County,23486,37.51,-75.81,,,,90,
Virginia,Northumberland County,22435,37.96,-76.55,,,,"2,638",
Virginia,Northumberland County,22456,37.9,-76.36,,,,,
Virginia,Northumberland County,22473,37.91,-76.47,,,,"5,490",
Virginia,Northumberland County,22511,37.96,-76.51,,,,967,
Virginia,Northumberland County,22530,37.9,-76.29,,,,219,
Virginia,Northumberland County,22539,37.86,-76.29,,,,"1,857",
Virginia,Northumberland County,22579,37.8,-76.31,,,,69,
Virginia,Nottoway County,23825,37.08,-77.99,,,,,
Virginia,Nottoway County,23922,37.18,-78.2,,,,"4,267",
Virginia,Nottoway County,23930,37.18,-78.13,,,,"5,505",
Virginia,Nottoway County,23955,37.13,-78.07,,,,12,
Virginia,Orange County,22433,38.37,-77.86,,,,241,
Virginia,Orange County,22542,38.28,-77.9,,,,"1,928",
Virginia,Orange County,22567,38.25,-77.96,,,,"3,122",
Virginia,Orange County,22957,38.19,-78.11,,,,0,
Virginia,Orange County,22960,38.24,-78.11,,,,"10,397",
Virginia,Orange County,22972,38.22,-78.23,,,,199,
Virginia,Page County,22650,38.76,-78.38,,,,860,
Virginia,Page County,22849,38.48,-78.62,,,,"5,222",
Virginia,Page County,22851,38.57,-78.5,,,,"5,836",
Virginia,Patrick County,24053,36.6,-80.51,,,,"2,092",
Virginia,Patrick County,24076,36.59,-80.42,,,,"1,310",
Virginia,Patrick County,24082,36.62,-80.11,,,,652,
Virginia,Patrick County,24120,36.73,-80.41,,,,"1,866",
Virginia,Patrick County,24171,36.64,-80.27,,,,"8,195",
Virginia,Patrick County,24177,36.72,-80.39,,,,,
Virginia,Patrick County,24185,36.78,-80.28,,,,678,
Virginia,Petersburg city,23804,37.2,-77.39,,,,,
Virginia,Petersburg city,23805,37.2,-77.39,,,,"21,427",
Virginia,Pittsylvania County,24069,36.56,-79.66,,,,"1,511",
Virginia,Pittsylvania County,24139,36.98,-79.46,,,,642,
Virginia,Pittsylvania County,24161,37,-79.55,,,,365,
Virginia,Pittsylvania County,24527,36.68,-79.38,,,,"2,948",
Virginia,Pittsylvania County,24530,36.81,-79.62,,,,774,
Virginia,Pittsylvania County,24531,36.81,-79.39,,,,"9,182",
Virginia,Pittsylvania County,24549,36.75,-79.41,,,,"4,337",
Virginia,Pittsylvania County,24557,36.95,-79.36,,,,"7,667",
Virginia,Pittsylvania County,24565,36.83,-79.23,,,,"1,005",
Virginia,Pittsylvania County,24566,36.71,-79.3,,,,"1,475",
Virginia,Pittsylvania County,24569,37.08,-79.1,,,,862,
Virginia,Pittsylvania County,24586,36.6,-79.3,,,,"4,519",
Virginia,Pittsylvania County,24594,36.62,-79.18,,,,"1,945",
Virginia,Portsmouth city,23702,36.8,-76.33,,,,"12,107",
Virginia,Portsmouth city,23703,36.89,-76.37,,,,"27,121",
Virginia,Portsmouth city,23704,36.82,-76.31,,,,"18,125",
Virginia,Portsmouth city,23705,36.83,-76.29,,,,,
Virginia,Portsmouth city,23707,36.84,-76.34,,,,"14,254",
Virginia,Portsmouth city,23708,36.85,-76.31,,,,359,
Virginia,Portsmouth city,23709,36.81,-76.31,,,,568,
Virginia,Powhatan County,23101,37.52,-77.96,,,,,
Virginia,Powhatan County,23139,37.54,-77.92,,,,"26,719",
Virginia,Powhatan County,23160,37.63,-77.85,,,,"1,517",
Virginia,Prince Edward County,23909,37.3,-78.4,,,,"1,239",
Virginia,Prince Edward County,23942,37.13,-78.3,,,,"1,137",
Virginia,Prince Edward County,23943,37.25,-78.45,,,,"1,052",
Virginia,Prince Edward County,23954,37.09,-78.36,,,,"2,462",
Virginia,Prince Edward County,23960,37.3,-78.55,,,,"1,788",
Virginia,Prince Edward County,23966,37.27,-78.29,,,,"1,955",
Virginia,Prince George County,23830,37.03,-77.4,,,,"1,874",
Virginia,Prince George County,23842,37.12,-77.22,,,,"6,956",
Virginia,Prince George County,23875,37.22,-77.28,,,,"13,375",
Virginia,Prince William County,20109,38.79,-77.53,,,,"44,781",
Virginia,Prince William County,20112,38.66,-77.43,,,,"28,856",
Virginia,Prince William County,20136,38.74,-77.55,,,,"31,733",
Virginia,Prince William County,20143,38.84,-77.56,,,,534,
Virginia,Prince William County,20155,38.79,-77.61,,,,"37,106",
Virginia,Prince William County,20156,38.79,-77.61,,,,,
Virginia,Prince William County,20168,38.81,-77.63,,,,,
Virginia,Prince William County,20169,38.88,-77.65,,,,"28,346",
Virginia,Prince William County,20181,38.69,-77.58,,,,"10,258",
Virginia,Prince William County,20182,38.69,-77.58,,,,,
Virginia,Prince William County,22025,38.6,-77.34,,,,"19,280",
Virginia,Prince William County,22026,38.56,-77.3,,,,"19,938",
Virginia,Prince William County,22125,38.68,-77.26,,,,874,
Virginia,Prince William County,22134,38.52,-77.29,,,,"7,562",
Virginia,Prince William County,22135,38.52,-77.29,,,,,
Virginia,Prince William County,22172,38.54,-77.31,,,,"11,823",
Virginia,Prince William County,22191,38.63,-77.26,,,,"72,215",
Virginia,Prince William County,22192,38.68,-77.31,,,,"59,238",
Virginia,Prince William County,22193,38.64,-77.35,,,,"83,796",
Virginia,Prince William County,22194,38.63,-77.26,,,,,
Virginia,Prince William County,22195,38.63,-77.26,,,,,
Virginia,Pulaski County,24084,37.1,-80.68,,,,"11,113",
Virginia,Pulaski County,24111,37.23,-80.61,,,,,
Virginia,Pulaski County,24126,37.04,-80.68,,,,,
Virginia,Pulaski County,24129,37.12,-80.57,,,,92,
Virginia,Pulaski County,24132,37.21,-80.63,,,,416,
Virginia,Pulaski County,24301,37.05,-80.76,,,,"13,631",
Virginia,Pulaski County,24324,37,-80.76,,,,"2,274",
Virginia,Pulaski County,24347,36.97,-80.64,,,,"1,249",
Virginia,Radford city,24142,37.14,-80.55,,,,"2,292",
Virginia,Radford city,24143,37.12,-80.55,,,,,
Virginia,Rappahannock County,22623,38.85,-78.13,,,,955,
Virginia,Rappahannock County,22627,38.76,-78.1,,,,775,
Virginia,Rappahannock County,22716,38.6,-78.1,,,,"1,102",
Virginia,Rappahannock County,22740,38.67,-78.25,,,,861,
Virginia,Rappahannock County,22746,38.63,-78.03,,,,660,
Virginia,Rappahannock County,22747,38.71,-78.15,,,,"1,236",
Virginia,Rappahannock County,22749,38.6,-78.17,,,,238,
Virginia,Richmond city,23218,37.55,-77.46,,,,,
Virginia,Richmond city,23219,37.54,-77.44,,,,"4,294",
Virginia,Richmond city,23220,37.55,-77.46,,,,"33,667",
Virginia,Richmond city,23221,37.55,-77.49,,,,"14,831",
Virginia,Richmond city,23222,37.58,-77.42,,,,"28,314",
Virginia,Richmond city,23224,37.5,-77.47,,,,"38,546",
Virginia,Richmond city,23225,37.52,-77.51,,,,"42,249",
Virginia,Richmond city,23226,37.58,-77.52,,,,"15,997",
Virginia,Richmond city,23232,37.55,-77.46,,,,,
Virginia,Richmond city,23240,37.55,-77.46,,,,,
Virginia,Richmond city,23241,37.55,-77.46,,,,,
Virginia,Richmond city,23249,37.55,-77.46,,,,,
Virginia,Richmond city,23260,37.55,-77.46,,,,,
Virginia,Richmond city,23261,37.55,-77.46,,,,,
Virginia,Richmond city,23269,37.55,-77.46,,,,,
Virginia,Richmond city,23274,37.55,-77.46,,,,,
Virginia,Richmond city,23276,37.55,-77.46,,,,,
Virginia,Richmond city,23278,37.55,-77.46,,,,,
Virginia,Richmond city,23279,37.55,-77.46,,,,,
Virginia,Richmond city,23282,37.55,-77.46,,,,,
Virginia,Richmond city,23284,37.55,-77.46,,,,"1,924",
Virginia,Richmond city,23285,37.55,-77.46,,,,,
Virginia,Richmond city,23286,37.55,-77.46,,,,,
Virginia,Richmond city,23289,37.55,-77.46,,,,,
Virginia,Richmond city,23290,37.55,-77.46,,,,,
Virginia,Richmond city,23291,37.55,-77.46,,,,,
Virginia,Richmond city,23292,37.55,-77.46,,,,,
Virginia,Richmond city,23293,37.55,-77.46,,,,,
Virginia,Richmond city,23295,37.55,-77.45,,,,,
Virginia,Richmond city,23297,37.55,-77.46,,,,,
Virginia,Richmond city,23298,37.55,-77.46,,,,271,
Virginia,Richmond County,22472,37.95,-76.66,,,,958,
Virginia,Richmond County,22548,37.82,-76.7,,,,59,
Virginia,Richmond County,22570,37.94,-76.6,,,,,
Virginia,Richmond County,22572,37.96,-76.76,,,,"6,449",
Virginia,Roanoke city,24001,37.27,-79.95,,,,,
Virginia,Roanoke city,24002,37.27,-79.95,,,,,
Virginia,Roanoke city,24003,37.27,-79.95,,,,,
Virginia,Roanoke city,24004,37.27,-79.95,,,,,
Virginia,Roanoke city,24005,37.27,-79.95,,,,,
Virginia,Roanoke city,24006,37.27,-79.95,,,,,
Virginia,Roanoke city,24007,37.27,-79.95,,,,,
Virginia,Roanoke city,24008,37.27,-79.95,,,,,
Virginia,Roanoke city,24009,37.27,-79.95,,,,,
Virginia,Roanoke city,24010,37.27,-79.95,,,,,
Virginia,Roanoke city,24011,37.27,-79.94,,,,723,
Virginia,Roanoke city,24013,37.27,-79.92,,,,"7,925",
Virginia,Roanoke city,24014,37.22,-79.91,,,,"15,630",
Virginia,Roanoke city,24015,37.26,-79.98,,,,"16,074",
Virginia,Roanoke city,24016,37.27,-79.95,,,,"9,605",
Virginia,Roanoke city,24017,37.3,-79.99,,,,"23,756",
Virginia,Roanoke city,24022,37.27,-79.95,,,,0,
Virginia,Roanoke city,24023,37.27,-79.95,,,,,
Virginia,Roanoke city,24024,37.27,-79.95,,,,,
Virginia,Roanoke city,24025,37.27,-79.95,,,,,
Virginia,Roanoke city,24026,37.27,-79.95,,,,,
Virginia,Roanoke city,24027,37.27,-79.95,,,,,
Virginia,Roanoke city,24028,37.27,-79.95,,,,,
Virginia,Roanoke city,24029,37.27,-79.95,,,,,
Virginia,Roanoke city,24030,37.27,-79.95,,,,,
Virginia,Roanoke city,24031,37.27,-79.95,,,,,
Virginia,Roanoke city,24032,37.27,-79.95,,,,,
Virginia,Roanoke city,24033,37.27,-79.95,,,,,
Virginia,Roanoke city,24034,37.27,-79.95,,,,,
Virginia,Roanoke city,24035,37.27,-79.95,,,,,
Virginia,Roanoke city,24036,37.27,-79.95,,,,,
Virginia,Roanoke city,24037,37.27,-79.95,,,,,
Virginia,Roanoke city,24038,37.27,-79.95,,,,,
Virginia,Roanoke city,24040,37.27,-79.95,,,,,
Virginia,Roanoke city,24042,37.27,-79.95,,,,,
Virginia,Roanoke city,24043,37.27,-79.95,,,,,
Virginia,Roanoke city,24044,37.27,-79.94,,,,,
Virginia,Roanoke city,24045,37.27,-79.94,,,,,
Virginia,Roanoke city,24048,37.27,-79.94,,,,,
Virginia,Roanoke city,24050,37.27,-79.95,,,,,
Virginia,Roanoke city,24155,37.29,-80.06,,,,,
Virginia,Roanoke city,24157,37.28,-80.05,,,,,
Virginia,Roanoke County,24018,37.21,-80.04,,,,"38,924",
Virginia,Roanoke County,24020,37.36,-79.94,,,,588,
Virginia,Roanoke County,24059,37.15,-80.11,,,,835,
Virginia,Roanoke County,24070,37.38,-80.11,,,,"1,545",
Virginia,Roanoke County,24179,37.27,-79.88,,,,"18,721",
Virginia,Rockbridge County,24415,37.92,-79.32,,,,35,
Virginia,Rockbridge County,24435,37.88,-79.3,,,,"1,615",
Virginia,Rockbridge County,24439,37.99,-79.5,,,,906,
Virginia,Rockbridge County,24472,37.93,-79.23,,,,"2,068",
Virginia,Rockbridge County,24473,37.9,-79.41,,,,806,
Virginia,Rockbridge County,24483,37.9,-79.2,,,,865,
Virginia,Rockbridge County,24555,37.63,-79.45,,,,"2,306",
Virginia,Rockbridge County,24578,37.63,-79.55,,,,673,
Virginia,Rockbridge County,24579,37.58,-79.5,,,,"1,111",
Virginia,Rockingham County,22811,38.79,-78.96,,,,436,
Virginia,Rockingham County,22812,38.38,-78.96,,,,"10,078",
Virginia,Rockingham County,22820,38.75,-79,,,,257,
Virginia,Rockingham County,22821,38.47,-79.08,,,,"5,666",
Virginia,Rockingham County,22827,38.41,-78.61,,,,"10,801",
Virginia,Rockingham County,22830,38.63,-78.98,,,,"2,135",
Virginia,Rockingham County,22831,38.48,-79,,,,650,
Virginia,Rockingham County,22832,38.45,-78.76,,,,"1,097",
Virginia,Rockingham County,22833,38.54,-78.73,,,,,
Virginia,Rockingham County,22834,38.56,-78.86,,,,"1,349",
Virginia,Rockingham County,22840,38.36,-78.74,,,,"4,882",
Virginia,Rockingham County,22841,38.35,-78.94,,,,"3,130",
Virginia,Rockingham County,22846,38.36,-78.79,,,,"1,853",
Virginia,Rockingham County,22848,38.36,-78.87,,,,,
Virginia,Rockingham County,22850,38.56,-78.92,,,,"1,299",
Virginia,Rockingham County,22853,38.63,-78.77,,,,"5,022",
Virginia,Rockingham County,24441,38.26,-78.82,,,,"6,358",
Virginia,Rockingham County,24471,38.32,-78.81,,,,"1,490",
Virginia,Russell County,24225,36.94,-82.15,,,,"1,818",
Virginia,Russell County,24260,37.01,-81.97,,,,"5,073",
Virginia,Russell County,24266,36.89,-82.07,,,,"8,805",
Virginia,Russell County,24280,36.95,-81.93,,,,850,
Virginia,Russell County,24649,37.08,-81.91,,,,"1,706",
Virginia,Scott County,24244,36.71,-82.79,,,,"5,765",
Virginia,Scott County,24245,36.82,-82.46,,,,836,
Virginia,Scott County,24250,36.77,-82.58,,,,"1,049",
Virginia,Scott County,24258,36.65,-82.46,,,,"1,351",
Virginia,Scott County,24271,36.75,-82.41,,,,"2,484",
Virginia,Scott County,24290,36.62,-82.56,,,,"2,357",
Virginia,Shenandoah County,22626,38.97,-78.4,,,,,
Virginia,Shenandoah County,22641,39.09,-78.37,,,,222,
Virginia,Shenandoah County,22652,38.84,-78.42,,,,"1,553",
Virginia,Shenandoah County,22657,38.98,-78.35,,,,"11,420",
Virginia,Shenandoah County,22660,38.94,-78.43,,,,"1,685",
Virginia,Shenandoah County,22664,38.87,-78.51,,,,"9,650",
Virginia,Shenandoah County,22810,38.83,-78.8,,,,569,
Virginia,Shenandoah County,22824,38.82,-78.56,,,,"6,352",
Virginia,Shenandoah County,22842,38.74,-78.63,,,,"5,647",
Virginia,Shenandoah County,22844,38.64,-78.67,,,,"4,711",
Virginia,Shenandoah County,22845,38.79,-78.82,,,,57,
Virginia,Shenandoah County,22847,38.73,-78.72,,,,555,
Virginia,Smyth County,24311,36.86,-81.39,,,,"1,467",
Virginia,Smyth County,24319,36.8,-81.68,,,,"6,582",
Virginia,Smyth County,24354,36.83,-81.51,,,,"13,918",
Virginia,Smyth County,24375,36.76,-81.4,,,,"1,666",
Virginia,Southampton County,23827,36.57,-77.19,,,,"1,166",
Virginia,Southampton County,23828,36.56,-77.24,,,,658,
Virginia,Southampton County,23829,36.71,-77.2,,,,"2,555",
Virginia,Southampton County,23844,36.71,-77.3,,,,549,
Virginia,Southampton County,23866,36.9,-76.89,,,,"1,825",
Virginia,Southampton County,23874,36.62,-77.12,,,,720,
Virginia,Southampton County,23878,36.77,-76.98,,,,"1,569",
Virginia,Spotsylvania County,22408,38.22,-77.44,,,,"31,130",
Virginia,Spotsylvania County,22534,38.08,-77.67,,,,"3,452",
Virginia,Spotsylvania County,22551,38.17,-77.7,,,,"22,035",
Virginia,Spotsylvania County,22553,38.27,-77.65,,,,"16,746",
Virginia,Spotsylvania County,22565,38.13,-77.52,,,,,
Virginia,Stafford County,22406,38.4,-77.54,,,,"26,702",
Virginia,Stafford County,22430,38.37,-77.34,,,,,
Virginia,Stafford County,22463,38.48,-77.42,,,,,
Virginia,Stafford County,22471,38.39,-77.61,,,,,
Virginia,Stafford County,22545,38.5,-77.51,,,,,
Virginia,Stafford County,22554,38.42,-77.4,,,,"62,257",
Virginia,Stafford County,22555,38.42,-77.4,,,,,
Virginia,Stafford County,22556,38.47,-77.51,,,,"31,200",
Virginia,Staunton city,24402,38.15,-79.06,,,,,
Virginia,Suffolk city,23433,36.92,-76.46,,,,"1,274",
Virginia,Suffolk city,23434,36.7,-76.63,,,,"51,108",
Virginia,Suffolk city,23435,36.84,-76.48,,,,"33,614",
Virginia,Suffolk city,23436,36.89,-76.51,,,,"1,021",
Virginia,Suffolk city,23437,36.63,-76.8,,,,"4,647",
Virginia,Suffolk city,23438,36.58,-76.7,,,,"1,685",
Virginia,Suffolk city,23439,36.7,-76.63,,,,,
Virginia,Surry County,23846,37.07,-76.88,,,,522,
Virginia,Surry County,23881,37.16,-76.97,,,,"2,315",
Virginia,Surry County,23883,37.13,-76.83,,,,"1,902",
Virginia,Surry County,23899,37.22,-76.96,,,,421,
Virginia,Sussex County,23882,36.94,-77.4,,,,"1,593",
Virginia,Sussex County,23884,36.92,-77.28,,,,15,
Virginia,Sussex County,23888,36.96,-76.98,,,,"2,485",
Virginia,Sussex County,23890,37.03,-77.09,,,,"4,823",
Virginia,Sussex County,23891,37.05,-77.21,,,,"1,311",
Virginia,Sussex County,23897,36.84,-77.28,,,,804,
Virginia,Tazewell County,24316,36.96,-81.67,,,,45,
Virginia,Tazewell County,24377,36.97,-81.64,,,,514,
Virginia,Tazewell County,24601,37.19,-81.65,,,,0,
Virginia,Tazewell County,24602,37.14,-81.7,,,,935,
Virginia,Tazewell County,24604,37.21,-81.53,,,,247,
Virginia,Tazewell County,24606,37.28,-81.39,,,,186,
Virginia,Tazewell County,24608,37.1,-81.35,,,,,
Virginia,Tazewell County,24609,37.01,-81.81,,,,"6,613",
Virginia,Tazewell County,24612,37.09,-81.84,,,,224,
Virginia,Tazewell County,24613,37.26,-81.33,,,,564,
Virginia,Tazewell County,24630,37.16,-81.5,,,,"6,142",
Virginia,Tazewell County,24635,37.3,-81.34,,,,765,
Virginia,Tazewell County,24637,37.04,-81.73,,,,"3,616",
Virginia,Tazewell County,24639,37.16,-81.9,,,,"3,788",
Virginia,Tazewell County,24640,37.12,-81.87,,,,,
Virginia,Tazewell County,24641,37.09,-81.8,,,,"5,456",
Virginia,Tazewell County,24651,37.12,-81.51,,,,"5,872",
Virginia,Unknown,22350,38.81,-77.08,,,,,
Virginia,Unknown,23090,37.34,-76.75,,,,,
Virginia,Unknown,23147,37.36,-77.04,,,,0,
Virginia,Unknown,24619,37.23,-81.49,,,,,
Virginia,Virginia Beach city,23451,36.87,-76.01,,,,"43,641",
Virginia,Virginia Beach city,23452,36.85,-76.09,,,,"57,180",
Virginia,Virginia Beach city,23453,36.78,-76.08,,,,"35,117",
Virginia,Virginia Beach city,23454,36.82,-76.03,,,,"58,022",
Virginia,Virginia Beach city,23455,36.89,-76.15,,,,"50,665",
Virginia,Virginia Beach city,23456,36.73,-76.04,,,,"60,182",
Virginia,Virginia Beach city,23457,36.61,-76.02,,,,"4,746",
Virginia,Virginia Beach city,23458,36.73,-76.04,,,,,
Virginia,Virginia Beach city,23459,36.92,-76.02,,,,"1,403",
Virginia,Virginia Beach city,23460,36.81,-76.03,,,,"1,474",
Virginia,Virginia Beach city,23461,36.78,-75.96,,,,840,
Virginia,Virginia Beach city,23462,36.84,-76.15,,,,"68,499",
Virginia,Virginia Beach city,23463,36.73,-76.04,,,,,
Virginia,Virginia Beach city,23464,36.8,-76.19,,,,"76,131",
Virginia,Virginia Beach city,23465,36.73,-76.04,,,,,
Virginia,Virginia Beach city,23466,36.73,-76.04,,,,,
Virginia,Virginia Beach city,23467,36.73,-76.04,,,,,
Virginia,Virginia Beach city,23471,36.73,-76.04,,,,,
Virginia,Virginia Beach city,23479,36.73,-76.04,,,,,
Virginia,Virginia Beach city,23521,36.84,-76.28,,,,,
Virginia,Warren County,22610,38.83,-78.31,,,,"1,625",
Virginia,Washington County,24210,36.77,-82.03,,,,"17,243",
Virginia,Washington County,24211,36.7,-81.96,,,,"10,016",
Virginia,Washington County,24212,36.7,-81.96,,,,,
Virginia,Washington County,24236,36.63,-81.78,,,,"3,157",
Virginia,Washington County,24270,36.72,-82.25,,,,369,
Virginia,Washington County,24327,36.75,-81.83,,,,594,
Virginia,Washington County,24340,36.79,-81.77,,,,"6,173",
Virginia,Washington County,24361,36.76,-81.85,,,,"4,746",
Virginia,Westmoreland County,22442,38.14,-76.63,,,,,
Virginia,Westmoreland County,22469,38.07,-76.65,,,,"2,052",
Virginia,Westmoreland County,22488,38.05,-76.59,,,,609,
Virginia,Westmoreland County,22520,38.09,-76.82,,,,"4,673",
Virginia,Westmoreland County,22524,38.09,-76.71,,,,,
Virginia,Westmoreland County,22529,38,-76.68,,,,206,
Virginia,Westmoreland County,22558,38.12,-76.81,,,,,
Virginia,Westmoreland County,22577,38.06,-76.55,,,,,
Virginia,Westmoreland County,22581,38.11,-76.8,,,,,
Virginia,Williamsburg city,23187,37.27,-76.72,,,,261,
Virginia,Winchester city,22604,39.17,-78.17,,,,,
Virginia,Wise County,24215,36.94,-82.78,,,,,
Virginia,Wise County,24219,36.86,-82.77,,,,"10,460",
Virginia,Wise County,24230,36.94,-82.46,,,,"6,935",
Virginia,Wise County,24246,36.87,-82.75,,,,274,
Virginia,Wise County,24279,37.12,-82.6,,,,"4,747",
Virginia,Wise County,24283,36.9,-82.31,,,,"1,909",
Virginia,Wise County,24293,36.97,-82.58,,,,"9,749",
Virginia,Wythe County,24313,36.91,-80.8,,,,524,
Virginia,Wythe County,24322,36.81,-81.1,,,,10,
Virginia,Wythe County,24323,36.88,-81.18,,,,"1,078",
Virginia,Wythe County,24350,36.83,-80.95,,,,"1,428",
Virginia,Wythe County,24368,36.89,-81.27,,,,"5,079",
Virginia,Wythe County,24374,36.81,-81.16,,,,556,
Virginia,Wythe County,24382,36.95,-81.08,,,,"14,657",
Virginia,York County,23690,37.23,-76.5,,,,"4,770",
Virginia,York County,23691,37.26,-76.55,,,,405,
Virginia,York County,23692,37.19,-76.46,,,,"18,986",
Virginia,York County,23693,37.12,-76.45,,,,"23,563",
Virginia,York County,23694,37.23,-76.54,,,,,
Virginia,York County,23696,37.19,-76.43,,,,"4,199",
